B01003_001E,B01003_001M,B00001_001E,B19301_001E,B19301_001M,B19013_001E,B19013_001M,B01002_001E,B01002_001M,B25001_001E,B25001_001M,B00002_001E,state,county,tract
1948,367,106,36180,8761,52375,18492,33.0,4.9,1031,51,56,11,001,004901
2625,251,192,53429,7891,78482,19220,29.9,1.3,1543,79,110,11,001,004902
1576,361,102,98188,50342,119643,21750,37.5,6.5,943,66,55,11,001,005001
5820,548,288,58170,8883,73173,15749,34.4,2.5,3843,119,196,11,001,005002
5203,345,319,80405,8418,64811,8784,34.5,1.1,4460,114,253,11,001,005201
5981,1386,264,65502,14246,91638,5327,35.6,6.3,3740,170,197,11,001,005301
6065,520,359,76418,7792,88831,8240,34.8,1.6,4438,136,246,11,001,005500
5043,557,286,65261,9152,61806,11573,31.0,4.1,4122,148,211,11,001,005600
2675,281,216,99562,13942,119167,24831,32.8,2.3,2140,118,164,11,001,005800
3956,695,319,37617,7722,66790,20947,35.3,7.6,1707,133,127,11,001,005900
0,132,0,-666666666,-222222222,-666666666,-222222222,-666666666.0,-222222222.0,0,132,0,11,001,006202
1925,250,108,20922,4887,21191,5986,37.8,2.5,1109,58,67,11,001,006400
2550,346,189,70956,7228,113542,14219,33.3,3.0,1547,81,112,11,001,006500
1860,270,157,90385,14791,94878,20368,34.3,1.9,1206,35,91,11,001,006600
4032,349,333,74689,7874,141004,12729,37.7,2.4,2029,46,165,11,001,006700
1836,250,139,39363,8490,77955,31898,34.2,5.5,1005,79,69,11,001,006801
2128,199,144,38105,3979,86719,21922,37.3,3.2,961,70,66,11,001,006802
2496,333,299,5083,1857,-666666666,-222222222,34.1,2.1,27,44,1,11,001,006804
2227,232,161,67857,23629,115299,12781,34.4,3.0,1152,27,84,11,001,006900
2248,333,193,63176,9911,92656,20685,33.8,3.9,1248,55,94,11,001,007000
3344,462,218,25619,5121,29493,21396,29.8,3.2,1326,49,92,11,001,007100
1201,252,76,39944,8224,47885,25864,34.7,8.3,961,113,61,11,001,007200
2664,532,210,22020,2946,64821,8174,24.9,1.5,1112,135,76,11,001,007301
3562,542,203,18869,4188,31856,14616,29.4,6.0,1415,105,85,11,001,007304
2242,416,133,10073,2033,19238,3862,23.6,6.5,999,39,61,11,001,007401
2768,419,136,17026,4878,27333,5778,27.7,3.1,1189,50,60,11,001,007403
3322,384,186,12675,4150,26250,7507,19.0,2.5,1475,98,85,11,001,007404
3173,477,191,11359,3011,27838,9182,21.5,6.7,1121,56,72,11,001,007406
2976,422,158,20159,4467,36453,12177,28.4,5.1,1216,49,74,11,001,007407
2675,492,157,11680,2757,17826,3277,26.8,2.3,1240,45,74,11,001,007408
3684,489,221,16224,2850,26636,3748,24.9,2.7,1639,35,102,11,001,007409
4000,619,228,15097,2683,31179,6385,29.7,3.0,1915,87,105,11,001,007502
2252,399,142,15269,3220,31551,6743,33.3,6.7,1033,65,65,11,001,007503
2907,511,142,13653,3256,20625,18437,28.8,5.8,1312,58,76,11,001,007504
3921,391,219,22434,3073,37687,6214,45.4,2.7,2206,85,119,11,001,007601
4425,550,189,31661,4077,49744,6929,41.7,6.9,2303,95,109,11,001,007603
3376,296,226,27626,3673,43968,8517,48.3,2.9,2050,36,138,11,001,007604
3409,374,209,23085,2985,42152,3252,42.4,5.6,1826,63,121,11,001,007605
5657,681,247,19210,2885,31955,5942,27.8,5.4,2463,56,112,11,001,007703
3748,449,280,22538,3357,38571,12386,33.8,4.0,1640,101,121,11,001,007707
2880,363,152,17973,3797,35534,9465,32.7,4.7,1322,41,81,11,001,007708
1564,232,97,24270,3682,25451,7194,47.2,8.0,1154,56,64,11,001,007709
2813,337,203,19468,2666,22685,3601,37.9,5.7,1643,72,113,11,001,007803
2976,493,205,18048,4660,25208,4916,35.5,5.8,1378,84,89,11,001,007804
2141,371,140,19389,3687,42171,5526,38.7,5.3,1080,70,66,11,001,007806
2029,331,147,16434,3608,27917,10524,37.8,7.1,883,63,57,11,001,007807
3706,469,204,13950,3380,27531,7934,23.8,4.2,1520,122,89,11,001,007808
2711,406,140,18740,5870,22109,15623,35.6,8.6,1348,69,79,11,001,007809
3770,492,187,25815,5107,32692,14491,34.3,5.5,1796,61,107,11,001,007901
1475,253,87,30132,9630,43304,8279,46.1,6.8,902,57,57,11,001,007903
2514,214,187,51364,6314,89128,12171,36.0,3.6,1345,48,98,11,001,008001
3566,382,256,49981,5824,92874,7726,34.4,1.5,1687,93,129,11,001,008002
3440,498,248,65194,8962,132321,15920,30.9,1.6,1514,74,118,11,001,008100
2774,283,212,81523,19164,83214,10915,30.7,2.2,1622,92,122,11,001,008200
2357,234,170,67321,8515,115216,16775,37.3,3.1,1199,88,85,11,001,008301
2017,214,143,62577,10866,101667,39796,33.5,3.1,998,61,71,11,001,008302
2423,320,178,31886,4682,54683,16192,40.6,6.0,1314,38,96,11,001,008402
1698,335,105,38460,14647,96667,13115,35.6,2.6,657,69,42,11,001,008410
2028,263,136,29039,6283,64464,16841,33.5,3.8,936,57,64,11,001,008701
1713,211,107,27202,4118,41232,9458,40.0,5.4,939,42,54,11,001,008702
4386,517,300,24696,5359,38859,8184,35.7,7.9,2057,61,142,11,001,008802
1573,523,99,14070,4308,37833,21515,28.0,3.7,638,62,41,11,001,008803
2751,475,146,16736,3540,25978,5653,41.8,3.5,1571,27,89,11,001,008804
2259,297,137,17934,2542,26556,8826,35.7,4.6,1488,52,86,11,001,008903
3280,419,191,18566,2336,27620,9109,38.7,6.0,1872,86,117,11,001,008904
2594,304,171,40250,6189,39653,10780,50.2,3.5,1673,27,127,11,001,009000
4965,610,295,16211,2404,32806,10784,32.4,4.3,1838,73,125,11,001,009102
1339,260,97,28091,5539,44939,17546,33.6,5.2,594,57,40,11,001,009201
2541,489,126,30586,5390,51726,12370,32.4,7.3,1358,28,74,11,001,009203
2425,351,147,17879,3122,28814,4791,41.2,3.8,1396,56,85,11,001,009204
3485,377,226,34493,5097,72578,16601,41.8,4.1,1276,22,90,11,001,009301
1217,291,87,32931,5895,63958,11248,39.7,11.9,544,64,38,11,001,009302
3982,325,274,36543,3685,70990,7195,45.3,3.1,1843,71,127,11,001,009400
6360,768,357,15974,3217,40536,5685,20.8,1.3,2114,61,114,11,001,009501
2830,243,209,33997,3741,70875,11109,51.2,2.2,1252,62,87,11,001,009503
2969,403,231,28709,4578,50500,8915,44.8,6.7,1405,59,99,11,001,009504
2677,197,168,30162,3355,62462,10802,47.2,5.7,1223,47,86,11,001,009505
1901,304,117,28628,6040,62986,22359,46.2,9.1,654,51,42,11,001,009507
3024,398,188,28382,4463,47410,8265,46.6,8.1,1537,59,103,11,001,009508
2754,367,199,36537,8410,59286,17626,50.5,7.7,1294,38,92,11,001,009509
2927,438,117,15885,4892,40929,33812,17.9,9.6,884,27,48,11,001,009601
3017,356,153,16125,3571,24786,6500,26.7,5.5,1526,25,86,11,001,009602
3273,450,209,21690,3042,38404,4666,35.6,5.3,1748,70,115,11,001,009603
2022,257,129,25468,4392,37441,9730,41.6,9.9,1030,26,70,11,001,009604
2403,505,119,18612,4457,31549,7229,27.8,6.2,1175,108,61,11,001,009700
1529,410,85,12377,4371,31917,11746,19.7,4.6,713,68,47,11,001,009801
1169,278,73,13076,3428,23633,15877,28.5,4.1,760,72,46,11,001,009802
2374,375,143,15994,2898,30625,6748,28.4,4.2,1422,57,92,11,001,009803
2900,659,129,19533,6704,46554,20518,26.0,7.5,1063,52,64,11,001,009804
3232,409,199,23259,3458,42420,11583,41.4,3.7,1654,29,98,11,001,009807
2328,379,89,12340,2702,26234,2938,26.2,4.6,1157,87,43,11,001,009810
3530,508,141,12501,2848,21713,8234,25.6,2.9,1928,110,78,11,001,009811
2017,226,152,46116,4982,76736,10938,52.4,2.3,1060,67,81,11,001,009901
2773,456,161,27158,6203,51400,22780,45.7,5.7,1268,58,81,11,001,009902
1384,260,92,22569,7265,52554,7225,39.2,10.4,741,118,42,11,001,009903
1618,312,90,19039,4700,35302,18035,31.1,8.2,1007,65,58,11,001,009904
2668,353,159,18741,3422,35186,6282,33.6,8.5,1328,52,87,11,001,009905
1670,253,94,18149,3542,34269,6249,37.5,6.0,844,64,49,11,001,009906
2587,433,162,14957,2473,26612,6437,26.8,5.8,1208,48,76,11,001,009907
2115,262,145,56036,8393,51151,7001,31.9,1.4,1893,55,127,11,001,010100
2661,267,183,64697,8267,74744,6671,42.9,7.3,2052,111,134,11,001,010200
3163,618,215,36093,7892,56736,17115,36.3,10.3,1296,69,77,11,001,010300
4594,849,290,17331,4222,33500,13680,36.8,5.1,1852,91,114,11,001,010400
4230,477,223,47236,6832,57052,12921,35.2,3.4,2761,136,132,11,001,010500
3637,443,225,32285,4830,65122,9663,34.1,3.8,1597,80,116,11,001,010600
1881,230,157,61044,12876,55268,8470,27.1,1.9,1415,54,103,11,001,010700
6818,845,493,5995,1326,11375,3416,19.7,0.2,1241,76,91,11,001,010800
3200,579,191,15362,3609,28519,8233,22.7,1.8,1446,49,85,11,001,010900
4528,779,212,54041,10173,79297,14212,45.9,8.5,3097,129,152,11,001,011000
4299,447,301,29081,3125,55353,7891,47.0,3.6,1903,62,125,11,001,011100]]
